probIn scale
0.6152825 0.0002146264
0.6250181 0.0002119415
0.6328519 0.0002181839
0.6168821 0.0002116135
0.5936109 0.000209642
0.6258599 0.0002145091
0.6070989 0.0002115429
0.5962751 0.0002214146
0.6138724 0.0002145368
0.5715779 0.0002148955
0.5432322 0.0002216004
0.5672161 0.0002253924
0.5689384 0.0002182796
0.5738312 0.000219619
0.5965426 0.0002165241
0.626516 0.0002202091
0.654766 0.0002184503
0.658416 0.0002218313
0.6490618 0.0002359073
0.6449498 0.0002321729
0.5975843 0.0002258331
0.5618322 0.0002235956
0.5406024 0.000224982
0.5547661 0.0002190944
0.554472 0.0002197534
0.5491621 0.0002294941
0.5823387 0.0002293296
0.5842647 0.0002426656
0.6288017 0.000233876
0.6482106 0.0002350619
0.6439816 0.0002243426
0.6389161 0.0002206559
0.6327164 0.0002277667
0.6643003 0.0002258561
0.6333051 0.0002183328
0.6656079 0.0002165144
0.6661363 0.0002281172
0.6470757 0.0002237951
0.6526052 0.0002288205
0.6337941 0.0002227143
0.6137543 0.0002304282
0.6181552 0.0002279422
0.6158091 0.0002351188
0.6335412 0.0002305944
0.6160477 0.0002216967
0.5958032 0.0002194474
0.6108763 0.0002195111
0.6106706 0.000211563
0.5931171 0.0002145179
0.5952177 0.0002129106
0.5815571 0.0002142362
0.6016894 0.0002187936
0.6200475 0.0002183714
0.5651485 0.0002268992
0.5795386 0.0002274971
0.5886596 0.0002346264
0.5857296 0.0002326369
0.5770205 0.0002448142
0.5353802 0.0002431359
0.5403258 0.0002344331
0.5312303 0.0002371898
0.5075264 0.0002474069
0.5235971 0.0002455769
0.5499685 0.0002431289
0.5722159 0.0002475557
0.5925814 0.0002423069
0.565505 0.0002517289
0.5811215 0.000259552
0.5800002 0.0002744191
0.5851935 0.0002844307
0.5868005 0.000283785
0.5669271 0.0002772363
0.6181796 0.0002743447
0.5761796 0.0002794536
0.5997502 0.0002794781
0.5920475 0.0002889051
0.5778728 0.0002813586
0.6149249 0.0002808226
0.6100895 0.0002826711
0.5962994 0.0002853214
0.5877305 0.000295804
0.5887205 0.0002984745
0.5677969 0.0003016952
0.6056727 0.0003056664
0.6244268 0.0002950041
0.6227802 0.0002864526
0.6443728 0.0002878854
0.6213471 0.0002873452
0.6367423 0.0002967847
0.6339141 0.0002948511
0.6231352 0.0003057034
0.6356957 0.0003143344
0.6354694 0.0003064327
0.5915756 0.0003209633
0.5900676 0.0003048878
0.6119365 0.0003115884
0.6066624 0.0003022213
0.6065966 0.0003020776
0.5902199 0.0003078346
0.578249 0.000300735
0.5799842 0.0002924429
0.5438134 0.0002995733
0.5410745 0.000296256
0.5909968 0.0002977627
